title,price,district,town,main category,sub category,Brand,Model year,Condition,Transmission,Model,Body type,Fuel type,Engine capacity,Mileage
Corolla 121 2003 TV Car Dvd Player,"14,000",Colombo,Kottawa,Cars & Vehicles,Auto Parts & Accessories,,,New,,,,,,
2017 Spacia Car Dvd Player Bluetooth,"14,000",Colombo,Kottawa,Cars & Vehicles,Auto Parts & Accessories,,,New,,,,,,
Nissan N16 2001,"2,100,000",Gampaha,Kelaniya,Cars & Vehicles,Cars,Nissan,2001,Used,Manual,Nissan N16,Saloon,Petrol,"1,500 ","170,000 "
🚘 Honda Fit වසර 7කින් ගෙවන්න,"1,439",Gampaha,Ja-Ela,Cars & Vehicles,Auto Services,,,,,,,,,
Honda S660 Alpha 2017,"3,950,000",Colombo,Kohuwala,Cars & Vehicles,Cars,Honda,2017,Reconditioned,Tiptronic,S660 Alpha,Convertible,Petrol,650 ,180 
Suzuki Wagon R FX 2017,"2,750,000",Colombo,Boralesgamuwa,Cars & Vehicles,Auto Services,,,,,,,,,
Wagon R FX Hybrid Car Dvd Player 2018,"14,000",Colombo,Kottawa,Cars & Vehicles,Auto Parts & Accessories,,,New,,,,,,
Genuine Sony Xplod 600w Amplifier,"25,000",Colombo,Kottawa,Cars & Vehicles,Auto Parts & Accessories,,,New,,,,,,
Toyota Hilax cab 106 1994,"2,100,000",Galle,Baddegama,Cars & Vehicles,Cars,Toyota,1994,Used,Manual,Hilax cab 106,SUV / 4x4,Diesel,"2,800 ","55,000 "
Mitsubishi MONTERO 2007,"8,325,000",Galle,Galle,Cars & Vehicles,Cars,Mitsubishi,2007,Used,Automatic,MONTERO,SUV / 4x4,Petrol,"2,990 ","96,600 "
Swift RS Turbo Car Dvd Player 2017/18,"14,000",Colombo,Kottawa,Cars & Vehicles,Auto Parts & Accessories,,,New,,,,,,
Bajaj 4 Stroke 2009 Three Wheeler,"410,000",Kurunegala,Narammala,Cars & Vehicles,Three Wheelers,,,Used,,,,,,
Suzuki wagon R FZ Safety 2018,"3,250,000",Kurunegala,Kurunegala,Cars & Vehicles,Cars,Suzuki,2018,New,Automatic,wagon R FZ Safety,Hatchback,Petrol,660 ,0 
Suzuki Baleno 2016 TV Car Dvd Player,"14,000",Colombo,Kottawa,Cars & Vehicles,Auto Parts & Accessories,,,New,,,,,,
BMW 520d 2006,"6,000,000",Kurunegala,Kurunegala,Cars & Vehicles,Cars,BMW,2006,Used,Tiptronic,520d,Saloon,Diesel,"2,000 ","133,000 "
Toyota KDH Hiace GL Car Dvd Player,"14,000",Colombo,Kottawa,Cars & Vehicles,Auto Parts & Accessories,,,New,,,,,,
Tata Dimo Batta 2010,"675,000",Kurunegala,Hettipola,Cars & Vehicles,"Vans, Buses & Lorries",Tata,2010,Used,,Dimo Batta,,,,"60,000 "
Suzuki Alto 2016,"2,450,000",Colombo,Piliyandala,Cars & Vehicles,Cars,Suzuki,2016,Reconditioned,Automatic,Alto,,Petrol,650 ,"9,000 "
Suzuki Wagon R Stingray X 2018,"3,390,000",Kurunegala,Kurunegala,Cars & Vehicles,Cars,Suzuki,2018,New,Automatic,Wagon R Stingray X,Hatchback,Petrol,660 ,0 
Honda Insight Hybrid 2009,"1,350,000",Gampaha,Ja-Ela,Cars & Vehicles,Cars,Honda,2009,Used,Automatic,Insight Hybrid,Hatchback,Petrol,"1,299 ","95,000 "
MICRO MPV JUNIOR 3 2013,"1,260,000",Gampaha,Kiribathgoda,Cars & Vehicles,"Vans, Buses & Lorries",Other brand,2013,Used,,MICRO MPV JUNIOR 3,,,,"7,000 "
Honda GP 1 2010,"3,275,000",Colombo,Mount Lavinia,Cars & Vehicles,Cars,Honda,2010,Used,Automatic,GP 1,Hatchback,Other fuel type,"1,399 ","42,200 "
Kia PICANTO 2004,"1,795,000",Colombo,Malabe,Cars & Vehicles,Cars,Kia,2004,Used,Automatic,PICANTO,Hatchback,Petrol,"1,000 ","108,550 "
TVS streak 2012,"85,000",Polonnaruwa,Polonnaruwa,Cars & Vehicles,Motorbikes & Scooters,TVS,2012,Used,,streak,,,90 ,"29,000 "
Axio 2007/2010 TV Car Dvd Player,"14,000",Colombo,Kottawa,Cars & Vehicles,Auto Parts & Accessories,,,New,,,,,,
Suzuki japan alto 2017,"2,575,000",Colombo,Boralesgamuwa,Cars & Vehicles,Auto Services,,,,,,,,,
Mahindra Maximo Plus VX 2015,"1,070,000",Colombo,Homagama,Cars & Vehicles,"Vans, Buses & Lorries",Mahindra,2015,Used,,Maximo Plus VX,,,,"41,000 "
Three Wheel,"75,000",Colombo,Athurugiriya,Cars & Vehicles,Three Wheelers,,,Used,,,,,,
Belta 2010 Bluetooth Car Dvd Player,"14,000",Colombo,Kottawa,Cars & Vehicles,Auto Parts & Accessories,,,New,,,,,,
Honda VEZEL 2014,"4,850,000",Colombo,Boralesgamuwa,Cars & Vehicles,Cars,Honda,2014,Used,Automatic,VEZEL,SUV / 4x4,"Petrol, Other fuel type","1,500 ","52,000 "
Toyota Yaris 2008,"3,175,000",Colombo,Kohuwala,Cars & Vehicles,Cars,Toyota,2008,Used,Tiptronic,Yaris,,Petrol,"1,300 ","82,500 "
Mahindra maxxiom 2012,"725,000",Hambantota,Tangalla,Cars & Vehicles,"Vans, Buses & Lorries",Mahindra,2012,Used,,maxxiom,,,,"95,000 "
Suzuki Wagon R Stingray 2018,"3,390,000",Kurunegala,Kurunegala,Cars & Vehicles,Cars,Suzuki,2018,New,Automatic,Wagon R Stingray,Hatchback,Petrol,660 ,0 
Three Wheeler Bajaj,"580,000",Gampaha,Negombo,Cars & Vehicles,Three Wheelers,,,Used,,,,,,
Perodua Kelisa 2006,"1,695,000",Colombo,Malabe,Cars & Vehicles,Cars,Perodua,2006,Used,Automatic,Kelisa,Hatchback,Petrol,"1,000 ","94,000 "
